09-09 17:03:02.398 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ╔════════════════════════════════════════════════════════════════════════════════════════
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_data_day-->3
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_message_post_number-->4
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_nickname_post_number-->0
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_person_height-->178
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_screen_style_type-->0
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_skin_level-->0
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ count_sport_model_day-->0
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_app_name-->VpSdkDemo
09-09 17:03:02.399 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_app_package_name-->com.timaimee.vpbluetoothsdkdemo
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_app_version-->1.1.0
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_mac-->CA:CB:AE:E9:47:94
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_name-->none
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_number-->166
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_pwd-->0000
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_version_release-->00.27.09
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_device_version_test-->00.27.09.00
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_phone_google_api_level-->23
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_phone_model-->Redmi Note 4
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_phone_version-->6.0
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ info_sdk_protocol_version-->1.1.0
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_detecting_beath-->false
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_detecting_bp-->false
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_detecting_ftg-->false
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_detecting_rate-->false
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_detecting_spo2h-->false
09-09 17:03:02.400 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_drink_data-->false
